age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
27.00,Male,Finance,4.43,Facebook,57.00,7.41,6.09,5.00,9.00,4.03,2.35,6.00,TRUE,FALSE,0.00,2.00,8.89,5.30
27.00,Male,IT,2.16,Instagram,76.00,8.48,8.93,8.14,2.00,7.54,1.44,2.00,FALSE,FALSE,3.00,21.00,5.41,9.09
36.00,Female,Unemployed,5.42,Facebook,48.00,8.58,8.94,7.79,6.00,6.37,0.00,2.00,FALSE,FALSE,4.00,7.00,1.51,6.89
38.00,Female,Finance,2.85,Instagram,67.00,8.34,6.53,6.53,2.00,6.57,0.63,10.00,FALSE,FALSE,3.00,17.00,9.56,9.16
26.00,Male,Student,3.51,Telegram,62.00,9.08,4.11,3.76,5.00,4.68,0.08,6.00,TRUE,FALSE,3.00,5.00,16.65,4.15
18.00,Female,Health,3.04,Instagram,58.00,8.97,8.95,7.19,8.00,7.19,1.91,10.00,FALSE,FALSE,3.00,8.00,13.42,7.25
21.00,Other,Health,0.72,Telegram,55.00,6.26,5.11,4.53,5.00,5.31,0.06,3.00,FALSE,FALSE,1.00,28.00,17.85,4.01
18.00,Male,Finance,2.77,TikTok,64.00,7.12,2.48,2.24,6.00,5.79,1.30,10.00,FALSE,FALSE,2.00,2.00,14.54,0.39
49.00,Female,IT,2.90,Telegram,61.00,9.13,4.40,3.76,4.00,8.05,,8.00,FALSE,FALSE,2.00,3.00,7.86,4.15
51.00,Female,IT,7.39,Facebook,55.00,6.44,4.57,4.68,1.00,6.10,1.27,5.00,FALSE,FALSE,2.00,29.00,14.12,4.63
56.00,Female,IT,1.82,Facebook,69.00,7.72,8.17,7.43,10.00,8.22,1.81,6.00,FALSE,TRUE,1.00,8.00,5.88,7.40
43.00,Female,Unemployed,2.49,Twitter,50.00,9.38,4.47,2.93,8.00,6.08,0.49,6.00,TRUE,TRUE,3.00,22.00,3.51,2.23
51.00,Male,Finance,6.08,Telegram,72.00,10.13,5.20,5.23,5.00,8.97,0.01,0.00,FALSE,FALSE,1.00,3.00,16.48,4.58
20.00,Female,Unemployed,0.00,Twitter,52.00,7.67,3.07,2.16,5.00,8.91,0.92,2.00,TRUE,FALSE,4.00,22.00,13.29,0.50
29.00,Female,Unemployed,4.94,Facebook,63.00,7.56,6.50,6.06,10.00,7.99,,8.00,FALSE,FALSE,1.00,7.00,8.42,5.23
22.00,Male,IT,2.59,Instagram,69.00,5.40,7.11,6.79,8.00,4.68,1.20,6.00,FALSE,FALSE,2.00,11.00,4.50,8.01
47.00,Female,IT,3.31,Telegram,56.00,5.75,3.82,2.90,8.00,7.75,1.92,6.00,FALSE,FALSE,3.00,24.00,18.85,3.40
47.00,Female,IT,2.89,Facebook,66.00,10.05,2.15,2.29,7.00,7.98,1.90,2.00,FALSE,TRUE,4.00,23.00,0.00,1.23
34.00,Male,Student,1.64,Facebook,57.00,3.26,5.93,5.25,4.00,4.63,0.83,7.00,TRUE,FALSE,3.00,8.00,8.47,5.36
65.00,Female,IT,17.82,Telegram,54.00,6.81,4.33,3.96,3.00,5.82,1.40,9.00,FALSE,FALSE,5.00,22.00,17.97,5.07
64.00,Female,Education,3.16,Telegram,46.00,5.86,4.44,3.93,10.00,7.52,0.98,4.00,FALSE,FALSE,1.00,30.00,14.01,4.14
40.00,Female,IT,1.43,Instagram,46.00,9.12,2.98,2.54,3.00,6.30,1.01,1.00,FALSE,FALSE,4.00,16.00,16.40,2.67
32.00,Male,Finance,3.82,Twitter,60.00,9.16,5.55,5.00,2.00,5.70,1.81,5.00,FALSE,FALSE,1.00,20.00,20.46,3.68
54.00,Female,Education,2.58,Facebook,55.00,6.27,6.51,5.37,3.00,5.31,1.70,4.00,FALSE,FALSE,3.00,30.00,0.00,
31.00,Female,IT,0.00,Instagram,44.00,6.34,7.76,7.24,7.00,6.54,0.90,4.00,FALSE,FALSE,1.00,8.00,15.61,7.01
28.00,Male,Health,1.85,Telegram,49.00,7.64,3.67,3.81,1.00,6.38,0.18,10.00,TRUE,FALSE,4.00,12.00,15.17,3.49
56.00,Male,Student,3.61,Facebook,55.00,7.20,5.48,4.64,6.00,5.58,1.58,9.00,TRUE,FALSE,2.00,13.00,4.37,4.82
55.00,Female,Finance,2.23,Facebook,63.00,9.12,2.74,2.18,10.00,3.68,0.03,4.00,FALSE,FALSE,3.00,23.00,12.69,
51.00,Male,Unemployed,8.37,TikTok,64.00,6.08,6.86,6.25,5.00,4.48,1.71,3.00,FALSE,TRUE,4.00,10.00,0.00,6.60
55.00,Female,Finance,0.00,TikTok,50.00,4.57,5.11,4.24,7.00,3.43,0.08,9.00,FALSE,FALSE,6.00,29.00,17.87,
51.00,Female,Health,0.51,Instagram,66.00,8.87,8.06,7.21,5.00,6.97,1.90,3.00,FALSE,FALSE,0.00,15.00,8.59,
35.00,Male,Student,1.92,TikTok,65.00,7.27,2.09,2.76,6.00,5.73,0.96,3.00,FALSE,FALSE,0.00,29.00,16.59,3.21
47.00,Female,Education,3.73,Telegram,56.00,9.13,5.78,4.87,3.00,6.00,0.00,7.00,FALSE,TRUE,2.00,22.00,2.31,5.22
32.00,Male,IT,2.35,Instagram,63.00,9.81,8.14,7.63,6.00,7.67,0.78,8.00,FALSE,TRUE,3.00,28.00,0.00,6.81
44.00,Female,Unemployed,1.78,Twitter,59.00,5.38,4.47,4.01,3.00,6.74,,8.00,FALSE,FALSE,2.00,30.00,12.61,4.33
51.00,Male,Education,0.61,Twitter,57.00,10.08,5.80,4.95,8.00,7.11,0.44,6.00,TRUE,FALSE,1.00,10.00,19.46,3.60
55.00,Male,IT,3.86,Facebook,58.00,5.72,7.90,8.22,1.00,6.78,0.23,4.00,FALSE,FALSE,0.00,9.00,7.87,7.27
50.00,Male,Health,8.47,Facebook,50.00,9.31,3.97,3.79,6.00,5.99,1.71,4.00,FALSE,FALSE,2.00,19.00,6.20,3.57
32.00,Male,Student,4.15,Telegram,41.00,8.85,2.03,2.27,10.00,7.77,0.98,9.00,FALSE,TRUE,3.00,5.00,14.04,3.18
22.00,Female,Unemployed,2.84,Twitter,61.00,7.65,2.10,2.59,6.00,7.13,,7.00,FALSE,FALSE,0.00,23.00,16.90,1.05
46.00,Male,Finance,6.58,TikTok,58.00,8.03,7.15,6.06,6.00,4.97,0.09,8.00,FALSE,FALSE,0.00,25.00,0.29,7.45
21.00,Female,Education,4.60,Facebook,64.00,11.85,6.94,6.04,1.00,6.73,0.34,2.00,TRUE,FALSE,1.00,10.00,4.70,6.19
27.00,Female,Unemployed,5.28,Telegram,60.00,4.65,6.60,5.88,7.00,5.62,1.08,4.00,FALSE,FALSE,3.00,27.00,10.97,5.69
27.00,Male,IT,4.36,Telegram,66.00,6.76,6.45,6.18,10.00,6.50,0.49,3.00,TRUE,FALSE,5.00,14.00,14.45,7.39
34.00,Other,Student,2.85,Instagram,67.00,9.45,6.90,5.82,2.00,6.11,0.77,9.00,TRUE,FALSE,1.00,15.00,7.27,6.07
22.00,Other,Health,5.34,Twitter,51.00,10.35,7.86,7.42,7.00,5.24,2.78,7.00,FALSE,FALSE,3.00,4.00,0.00,7.43
23.00,Female,Unemployed,2.08,TikTok,73.00,7.01,6.04,5.23,5.00,5.22,1.17,5.00,FALSE,FALSE,5.00,13.00,8.58,
60.00,Male,IT,0.53,Facebook,62.00,5.42,2.52,2.07,4.00,4.15,1.42,0.00,FALSE,FALSE,1.00,23.00,21.89,2.58
60.00,Male,Finance,2.44,Telegram,64.00,5.80,4.99,4.25,6.00,3.14,0.90,9.00,TRUE,TRUE,0.00,7.00,14.35,4.42
28.00,Male,Education,0.68,Twitter,61.00,9.61,8.52,7.09,7.00,5.86,0.60,10.00,FALSE,TRUE,3.00,19.00,0.00,7.61
64.00,Female,Finance,4.00,Twitter,71.00,7.30,4.09,3.16,10.00,3.80,,3.00,FALSE,TRUE,4.00,17.00,3.87,2.00
40.00,Female,Student,3.84,Facebook,57.00,8.02,2.67,2.52,4.00,7.75,1.12,3.00,TRUE,FALSE,1.00,4.00,4.88,1.78
48.00,Female,Health,4.63,Twitter,58.00,8.31,4.14,4.03,9.00,5.62,2.68,9.00,FALSE,FALSE,0.00,15.00,11.91,3.53
28.00,Male,Student,2.27,Twitter,56.00,8.35,8.09,6.69,9.00,6.39,0.00,7.00,TRUE,TRUE,1.00,10.00,20.23,6.57
33.00,Other,Health,0.03,Instagram,60.00,6.59,6.18,5.49,9.00,7.60,0.56,6.00,FALSE,FALSE,1.00,26.00,18.62,5.88
25.00,Female,Health,1.70,Twitter,69.00,8.70,5.44,4.73,10.00,6.62,2.00,8.00,FALSE,FALSE,2.00,0.00,10.99,4.58
21.00,Female,Education,1.34,Telegram,57.00,5.19,2.66,2.78,7.00,6.73,1.62,9.00,TRUE,FALSE,0.00,23.00,3.88,1.00
21.00,Male,Student,3.20,TikTok,57.00,7.25,6.46,6.65,6.00,8.46,1.02,3.00,FALSE,TRUE,3.00,3.00,0.96,7.95
42.00,Female,Finance,7.05,Telegram,77.00,4.01,4.87,3.97,7.00,6.63,0.94,1.00,FALSE,FALSE,1.00,15.00,21.22,3.37
20.00,Male,Unemployed,0.00,Instagram,63.00,5.98,7.62,5.87,7.00,4.48,0.93,7.00,FALSE,FALSE,0.00,31.00,21.15,
20.00,Female,IT,0.99,Instagram,59.00,8.68,8.42,7.25,4.00,7.18,0.00,9.00,FALSE,FALSE,3.00,21.00,5.51,6.30
46.00,Other,Student,1.73,TikTok,69.00,7.11,2.72,2.46,3.00,6.53,0.24,1.00,TRUE,FALSE,2.00,22.00,12.15,
49.00,Female,IT,3.46,TikTok,72.00,6.23,6.98,6.12,10.00,7.10,1.68,3.00,TRUE,FALSE,1.00,8.00,3.71,4.78
38.00,Female,Health,0.03,Instagram,44.00,6.34,3.75,2.47,7.00,6.31,0.00,9.00,TRUE,FALSE,0.00,12.00,15.41,1.26
22.00,Male,IT,3.62,TikTok,66.00,7.64,7.35,6.65,9.00,7.25,0.92,7.00,FALSE,FALSE,3.00,14.00,0.00,
45.00,Female,Finance,5.05,Twitter,68.00,7.91,8.01,7.76,7.00,5.80,1.60,7.00,FALSE,FALSE,3.00,27.00,0.71,8.76
59.00,Male,Education,3.14,TikTok,47.00,5.57,5.48,5.40,9.00,6.18,1.43,2.00,FALSE,FALSE,2.00,13.00,7.49,6.07
18.00,Male,Education,3.74,Instagram,60.00,9.62,2.60,3.05,7.00,5.68,,5.00,TRUE,FALSE,1.00,31.00,2.03,1.14
58.00,Female,Unemployed,3.27,TikTok,59.00,7.92,5.56,5.10,7.00,6.49,0.55,7.00,FALSE,TRUE,2.00,1.00,9.19,
29.00,Female,Health,3.29,Twitter,64.00,7.85,2.99,2.12,1.00,3.62,0.92,5.00,FALSE,TRUE,3.00,0.00,0.00,1.67
43.00,Female,Finance,0.00,Facebook,45.00,4.27,6.42,6.36,3.00,6.58,0.13,0.00,TRUE,FALSE,1.00,12.00,12.19,5.96
63.00,Female,Health,4.17,TikTok,53.00,4.33,8.31,7.09,5.00,5.15,1.25,0.00,FALSE,TRUE,3.00,16.00,9.21,6.56
51.00,Female,Student,4.15,Instagram,59.00,9.01,5.32,4.31,2.00,5.48,0.48,5.00,FALSE,TRUE,6.00,20.00,0.00,5.50
31.00,Female,IT,3.71,TikTok,64.00,4.14,3.01,3.27,4.00,7.07,1.05,0.00,FALSE,FALSE,2.00,27.00,7.21,1.82
43.00,Male,Health,3.76,Instagram,56.00,8.34,5.47,4.83,8.00,6.09,0.81,8.00,FALSE,FALSE,2.00,3.00,28.60,5.51
62.00,Female,Unemployed,4.52,Twitter,53.00,8.75,8.03,7.83,5.00,3.56,0.20,4.00,TRUE,FALSE,1.00,28.00,8.62,7.17
44.00,Male,Finance,3.92,Facebook,64.00,6.92,6.56,5.59,10.00,6.12,1.38,10.00,FALSE,FALSE,0.00,18.00,14.85,6.43
26.00,Male,Unemployed,3.18,Telegram,58.00,10.98,5.35,4.27,8.00,6.90,0.00,5.00,FALSE,FALSE,1.00,9.00,15.05,3.50
43.00,Female,Health,3.66,Twitter,64.00,8.06,5.41,4.89,9.00,9.01,1.58,8.00,TRUE,FALSE,0.00,16.00,0.00,4.60
64.00,Male,Health,5.46,TikTok,70.00,6.34,8.07,7.86,10.00,4.81,0.00,4.00,FALSE,FALSE,3.00,31.00,8.18,7.45
39.00,Female,Unemployed,5.93,Twitter,68.00,5.43,5.25,4.77,7.00,7.61,0.58,8.00,TRUE,FALSE,4.00,21.00,6.92,5.57
64.00,Male,Finance,1.03,TikTok,50.00,5.83,3.34,3.21,3.00,9.04,1.03,7.00,FALSE,FALSE,1.00,21.00,0.00,
47.00,Male,Finance,2.22,Twitter,54.00,4.66,6.97,6.77,6.00,6.68,1.40,10.00,FALSE,TRUE,2.00,12.00,21.37,7.07
60.00,Female,Education,4.90,Twitter,51.00,6.83,2.46,1.99,7.00,5.59,1.42,8.00,TRUE,FALSE,3.00,30.00,19.02,2.22
65.00,Female,Unemployed,4.12,Facebook,53.00,6.95,5.38,4.69,6.00,3.84,1.13,2.00,FALSE,FALSE,0.00,25.00,12.68,3.63
18.00,Female,IT,6.84,Twitter,57.00,4.29,8.13,6.94,10.00,6.99,1.21,2.00,TRUE,FALSE,4.00,22.00,12.70,6.31
25.00,Male,Unemployed,7.71,TikTok,70.00,7.66,4.22,2.93,8.00,4.23,1.20,10.00,FALSE,FALSE,0.00,15.00,0.00,2.29
32.00,Male,Finance,4.70,Telegram,58.00,7.28,5.56,4.98,4.00,7.78,1.78,9.00,FALSE,TRUE,2.00,10.00,21.07,5.60
64.00,Female,Education,1.75,Facebook,56.00,7.11,7.76,7.19,7.00,3.53,0.78,0.00,FALSE,TRUE,1.00,16.00,14.26,7.72
31.00,Male,Student,0.26,Instagram,59.00,5.43,6.07,5.99,7.00,5.07,1.60,0.00,TRUE,FALSE,3.00,16.00,0.00,6.99
45.00,Male,Student,2.65,Telegram,50.00,7.49,4.68,4.01,9.00,6.73,,2.00,FALSE,FALSE,3.00,12.00,3.68,
31.00,Female,Unemployed,2.26,Facebook,50.00,4.75,5.46,4.85,9.00,7.59,0.05,4.00,TRUE,FALSE,3.00,17.00,15.81,6.00
62.00,Female,Unemployed,1.67,Twitter,61.00,7.39,4.32,3.67,9.00,6.13,0.47,3.00,TRUE,FALSE,1.00,2.00,10.72,5.24
31.00,Male,IT,5.98,TikTok,63.00,8.62,3.31,3.65,1.00,7.66,0.00,3.00,TRUE,TRUE,2.00,9.00,7.26,5.14
64.00,Female,Unemployed,1.53,Facebook,59.00,7.29,4.93,4.35,2.00,6.57,0.73,6.00,FALSE,FALSE,4.00,19.00,0.00,2.46
63.00,Female,Finance,3.39,Facebook,54.00,10.96,4.83,4.34,7.00,4.51,1.06,1.00,TRUE,TRUE,1.00,25.00,7.59,2.72
60.00,Female,Education,2.39,TikTok,62.00,7.04,8.24,7.91,4.00,4.20,0.29,9.00,FALSE,FALSE,3.00,17.00,14.12,6.59
64.00,Male,IT,0.00,Instagram,43.00,5.90,7.65,6.41,9.00,5.64,1.03,7.00,FALSE,FALSE,2.00,6.00,19.34,6.24
35.00,Female,Education,2.01,TikTok,59.00,6.92,3.66,2.85,8.00,8.38,0.75,6.00,FALSE,FALSE,2.00,4.00,7.12,2.03
55.00,Other,Unemployed,4.06,Instagram,51.00,6.77,4.70,4.71,7.00,6.62,0.00,5.00,TRUE,FALSE,4.00,11.00,14.10,3.97
52.00,Female,Student,3.01,Twitter,55.00,7.48,3.64,2.99,10.00,5.91,0.82,4.00,TRUE,FALSE,3.00,26.00,17.83,1.57
32.00,Male,Health,6.37,TikTok,65.00,7.09,7.04,5.90,4.00,6.25,1.12,3.00,FALSE,TRUE,1.00,27.00,12.24,4.36
42.00,Female,Health,0.00,Facebook,59.00,7.16,8.13,6.83,8.00,8.55,1.35,9.00,FALSE,FALSE,1.00,4.00,12.31,7.22
45.00,Female,Student,5.79,Telegram,63.00,8.89,8.08,6.97,6.00,6.46,1.70,6.00,FALSE,TRUE,1.00,3.00,12.89,7.37
27.00,Female,Health,2.40,Telegram,61.00,8.91,8.31,7.30,7.00,8.68,1.97,4.00,FALSE,TRUE,1.00,23.00,21.54,7.94
56.00,Female,Health,0.45,TikTok,58.00,4.29,6.70,5.88,9.00,6.25,1.02,8.00,FALSE,TRUE,0.00,14.00,26.33,5.83
34.00,Female,Education,0.25,Twitter,58.00,6.63,3.37,2.66,3.00,7.31,0.93,0.00,TRUE,TRUE,2.00,24.00,27.16,2.73
30.00,Male,Education,1.08,Instagram,62.00,8.00,4.79,5.32,9.00,6.87,1.24,5.00,TRUE,FALSE,3.00,31.00,26.77,4.46
37.00,Male,Health,2.71,Telegram,41.00,6.82,2.83,3.07,1.00,7.12,0.00,10.00,TRUE,FALSE,1.00,21.00,5.18,6.03
21.00,Male,Finance,2.23,Facebook,65.00,5.34,5.29,4.22,6.00,7.87,0.11,4.00,FALSE,TRUE,2.00,24.00,3.90,5.13
27.00,Female,Student,4.17,TikTok,64.00,5.72,5.32,4.77,2.00,6.11,1.83,2.00,FALSE,FALSE,2.00,11.00,10.54,4.26
20.00,Female,Education,0.12,Telegram,67.00,5.32,5.85,5.11,4.00,7.13,0.25,1.00,FALSE,FALSE,2.00,13.00,0.00,4.77
58.00,Female,Finance,3.10,Twitter,62.00,5.80,5.23,3.89,9.00,8.98,1.19,4.00,FALSE,FALSE,0.00,27.00,10.59,3.88
62.00,Female,Health,2.97,TikTok,56.00,4.67,4.71,4.61,8.00,5.40,0.60,10.00,FALSE,FALSE,3.00,25.00,3.46,5.86
53.00,Male,IT,3.23,Facebook,48.00,7.95,3.23,3.11,1.00,6.12,0.09,5.00,FALSE,FALSE,2.00,20.00,16.31,3.09
64.00,Male,Student,1.10,Twitter,64.00,5.20,4.24,4.44,2.00,5.59,0.79,9.00,FALSE,FALSE,0.00,19.00,15.75,
64.00,Female,Unemployed,7.37,Twitter,77.00,6.91,8.52,7.43,10.00,4.93,2.09,0.00,FALSE,FALSE,2.00,11.00,0.40,7.23
25.00,Female,Health,0.00,Telegram,60.00,8.81,8.66,8.20,8.00,6.32,1.04,1.00,FALSE,FALSE,2.00,31.00,11.11,8.13
57.00,Female,Education,1.17,Twitter,61.00,5.68,7.74,7.09,9.00,5.29,2.21,5.00,FALSE,FALSE,1.00,12.00,3.03,6.84
36.00,Female,Finance,5.53,Instagram,63.00,9.82,5.10,3.59,3.00,4.09,0.34,8.00,FALSE,FALSE,0.00,17.00,7.58,
59.00,Male,Health,0.44,Instagram,59.00,8.74,6.94,6.22,7.00,7.01,0.95,2.00,FALSE,FALSE,1.00,10.00,4.61,4.74
58.00,Other,Health,3.93,Instagram,66.00,12.00,6.14,5.08,3.00,4.65,0.63,8.00,TRUE,FALSE,4.00,29.00,3.97,5.64
23.00,Male,Education,0.56,Telegram,72.00,3.92,3.90,3.33,3.00,7.91,0.00,9.00,FALSE,TRUE,0.00,11.00,14.31,3.64
43.00,Male,Education,1.81,Facebook,66.00,6.46,6.62,5.24,2.00,5.58,1.75,10.00,FALSE,FALSE,5.00,30.00,0.00,5.35
51.00,Other,IT,2.91,Facebook,50.00,6.89,6.66,6.17,10.00,5.50,0.80,3.00,FALSE,FALSE,5.00,30.00,5.21,4.58
62.00,Other,IT,0.46,TikTok,56.00,10.64,6.48,4.43,10.00,5.69,2.26,4.00,FALSE,TRUE,3.00,12.00,22.25,
54.00,Female,Finance,5.90,TikTok,58.00,4.79,2.86,2.46,7.00,7.03,0.72,4.00,FALSE,FALSE,1.00,29.00,17.34,1.80
38.00,Female,Unemployed,0.00,Telegram,69.00,4.36,2.73,2.31,5.00,3.44,1.85,7.00,TRUE,TRUE,0.00,9.00,2.44,3.74
23.00,Female,Unemployed,2.63,Twitter,60.00,7.37,3.66,3.80,1.00,3.77,1.27,6.00,FALSE,FALSE,2.00,26.00,2.12,2.34
65.00,Male,Education,4.43,TikTok,69.00,10.53,8.14,6.88,9.00,6.61,0.96,7.00,TRUE,FALSE,2.00,30.00,6.59,7.03
21.00,Female,Unemployed,3.29,Instagram,67.00,10.48,8.95,9.05,3.00,4.39,2.11,5.00,FALSE,FALSE,1.00,7.00,0.82,10.00
47.00,Male,Health,5.40,Telegram,66.00,4.18,8.86,7.85,4.00,7.24,0.55,8.00,FALSE,TRUE,2.00,0.00,1.09,7.13
41.00,Male,Unemployed,3.84,TikTok,63.00,6.69,6.93,6.65,1.00,6.73,1.19,1.00,FALSE,FALSE,6.00,19.00,14.35,8.21
26.00,Female,Finance,4.21,TikTok,47.00,6.17,8.61,7.86,1.00,6.71,1.28,7.00,FALSE,FALSE,2.00,9.00,0.00,8.42
20.00,Female,Education,0.41,Telegram,56.00,10.05,4.19,3.94,2.00,4.56,,3.00,TRUE,FALSE,5.00,17.00,12.95,3.19
48.00,Female,Finance,4.37,Facebook,51.00,8.20,8.69,7.88,8.00,5.38,0.44,3.00,FALSE,TRUE,1.00,24.00,15.40,8.29
57.00,Female,Health,0.59,Telegram,60.00,10.67,5.62,4.92,6.00,7.39,0.59,2.00,TRUE,TRUE,1.00,19.00,10.68,5.00
54.00,Other,Student,4.84,TikTok,65.00,6.53,2.21,2.18,6.00,5.15,0.86,1.00,TRUE,FALSE,1.00,26.00,6.08,2.50
23.00,Male,Unemployed,6.33,Facebook,58.00,3.23,7.71,6.80,1.00,9.52,0.26,6.00,FALSE,FALSE,4.00,9.00,21.24,7.53
19.00,Male,Unemployed,2.87,Telegram,75.00,7.36,4.02,4.55,2.00,7.01,0.63,0.00,TRUE,FALSE,4.00,23.00,20.13,5.23
37.00,Male,Health,0.31,Twitter,68.00,6.63,8.73,7.11,5.00,4.68,0.87,5.00,FALSE,FALSE,1.00,10.00,7.71,6.73
45.00,Female,Student,1.16,Telegram,64.00,8.35,3.77,3.84,6.00,6.38,1.37,4.00,FALSE,FALSE,6.00,8.00,9.84,5.36
28.00,Male,IT,1.27,Facebook,59.00,6.96,6.73,6.61,3.00,5.36,0.00,7.00,FALSE,FALSE,2.00,16.00,29.56,5.28
32.00,Female,Unemployed,0.98,Instagram,73.00,6.54,2.61,2.23,2.00,6.59,1.40,7.00,FALSE,FALSE,4.00,7.00,6.77,2.12
55.00,Female,Student,3.59,Facebook,54.00,6.69,7.05,5.72,5.00,7.84,1.13,4.00,TRUE,TRUE,2.00,29.00,6.02,5.82
28.00,Female,Finance,2.63,Telegram,61.00,5.44,7.87,6.41,1.00,5.13,1.98,4.00,FALSE,FALSE,0.00,17.00,4.94,
25.00,Female,Education,2.14,Twitter,61.00,5.16,3.26,3.09,1.00,5.39,1.90,7.00,FALSE,FALSE,2.00,13.00,2.26,2.98
43.00,Female,Health,3.84,Telegram,70.00,2.54,3.95,3.95,3.00,10.00,1.01,9.00,TRUE,FALSE,3.00,16.00,6.13,2.86
62.00,Female,IT,0.00,Twitter,54.00,3.47,4.58,4.38,8.00,5.65,1.72,7.00,FALSE,TRUE,3.00,8.00,2.23,4.34
61.00,Female,Unemployed,3.30,TikTok,56.00,8.41,7.93,7.25,8.00,7.89,0.00,8.00,FALSE,FALSE,2.00,21.00,6.03,7.71
22.00,Male,Finance,3.36,Telegram,56.00,7.38,8.26,7.39,10.00,7.49,1.19,0.00,FALSE,FALSE,0.00,17.00,12.85,6.22
23.00,Female,Education,5.27,TikTok,62.00,6.45,4.07,3.36,3.00,6.77,0.00,9.00,TRUE,TRUE,1.00,4.00,13.09,4.16
43.00,Male,Student,3.71,Instagram,74.00,6.13,9.00,8.07,2.00,5.35,1.21,9.00,FALSE,FALSE,3.00,1.00,11.86,9.39
21.00,Male,Unemployed,4.39,Facebook,54.00,6.90,2.94,2.56,4.00,5.28,0.68,10.00,FALSE,TRUE,2.00,18.00,9.63,2.31
50.00,Male,Finance,5.60,TikTok,52.00,4.48,8.89,7.74,1.00,7.20,,10.00,FALSE,TRUE,2.00,22.00,13.38,7.78
37.00,Male,IT,2.00,Twitter,57.00,6.67,8.77,7.90,9.00,4.40,2.48,5.00,FALSE,FALSE,2.00,20.00,12.40,8.57
29.00,Male,Health,4.55,Twitter,59.00,7.72,4.64,4.05,5.00,8.61,1.76,3.00,FALSE,FALSE,5.00,26.00,14.76,4.56
64.00,Female,Education,1.06,TikTok,64.00,9.51,5.06,4.58,2.00,7.69,0.37,8.00,FALSE,FALSE,4.00,26.00,8.70,4.86
43.00,Female,Unemployed,0.00,Telegram,63.00,3.66,7.52,6.84,2.00,6.33,,2.00,FALSE,FALSE,2.00,6.00,0.38,6.71
54.00,Female,Student,5.28,Telegram,71.00,6.74,6.65,5.88,2.00,6.16,1.49,9.00,TRUE,FALSE,3.00,26.00,0.00,5.46
28.00,Female,Student,7.06,TikTok,60.00,5.78,4.59,4.13,8.00,4.67,1.83,7.00,FALSE,TRUE,2.00,31.00,2.31,5.39
53.00,Male,Finance,0.00,TikTok,49.00,7.73,3.26,3.43,8.00,6.75,2.18,7.00,TRUE,FALSE,1.00,18.00,0.77,2.89
30.00,Male,Unemployed,13.51,Facebook,69.00,6.78,3.01,2.42,9.00,5.29,0.93,5.00,FALSE,TRUE,1.00,9.00,15.11,3.07
60.00,Male,Health,4.84,TikTok,47.00,2.75,3.86,4.23,5.00,3.32,1.80,1.00,FALSE,TRUE,3.00,1.00,0.00,2.79
20.00,Female,IT,1.46,Facebook,66.00,5.75,2.86,2.14,6.00,5.39,0.71,2.00,TRUE,TRUE,1.00,19.00,1.85,
50.00,Male,Unemployed,2.82,TikTok,46.00,4.20,3.57,2.85,1.00,7.29,1.56,2.00,FALSE,FALSE,2.00,16.00,4.86,3.42
23.00,Female,IT,6.01,Twitter,62.00,9.61,3.79,3.46,9.00,8.33,0.57,6.00,FALSE,FALSE,2.00,6.00,2.58,3.11
22.00,Male,Education,0.38,Facebook,62.00,8.77,3.97,4.03,4.00,6.70,1.49,0.00,TRUE,FALSE,0.00,0.00,7.16,4.36
40.00,Male,Health,6.85,Telegram,52.00,8.92,6.74,6.18,1.00,5.20,,10.00,FALSE,FALSE,5.00,24.00,2.10,8.79
27.00,Female,IT,4.33,Facebook,55.00,7.24,8.60,7.62,8.00,8.08,0.67,2.00,FALSE,TRUE,3.00,19.00,23.40,6.96
19.00,Male,Health,1.65,Instagram,57.00,8.72,3.28,2.90,1.00,9.74,1.03,4.00,FALSE,TRUE,2.00,31.00,17.41,
30.00,Female,Finance,1.45,Facebook,63.00,2.91,4.72,4.32,7.00,7.64,1.67,0.00,FALSE,FALSE,1.00,8.00,15.15,5.01
19.00,Female,Finance,0.50,Telegram,61.00,5.73,8.23,8.06,3.00,5.50,1.26,7.00,FALSE,TRUE,3.00,8.00,12.07,6.24
54.00,Female,Finance,4.57,TikTok,56.00,3.73,3.77,3.01,5.00,5.14,1.20,2.00,FALSE,FALSE,2.00,9.00,8.33,
26.00,Female,Unemployed,17.33,Facebook,76.00,7.54,2.29,1.94,2.00,6.80,0.36,0.00,FALSE,FALSE,2.00,25.00,16.13,1.63
34.00,Male,Education,2.95,Twitter,50.00,7.68,9.00,7.86,9.00,7.26,1.19,8.00,FALSE,FALSE,0.00,28.00,9.46,6.29
28.00,Male,IT,2.43,Facebook,62.00,5.39,6.46,6.28,3.00,5.83,0.48,4.00,FALSE,FALSE,3.00,25.00,19.90,6.23
32.00,Female,Education,4.79,Twitter,63.00,5.39,8.53,7.19,5.00,5.83,0.66,2.00,TRUE,FALSE,1.00,14.00,5.10,8.01
41.00,Male,Student,4.62,TikTok,67.00,6.56,6.16,5.71,3.00,7.39,0.63,6.00,FALSE,FALSE,0.00,11.00,13.50,4.88
